trial;present;key;iter_ns;rec_ns;iter_found;rec_found
281;0;12551.3884500001;100;100;0;0
282;1;2833.7940000000;100;100;1;1
283;0;1604.6714500000;200;100;0;0
284;1;15678.0310000002;100;100;1;1
285;0;2986.9384500000;100;100;0;0
286;1;5821.2170000000;100;100;1;1
287;0;14515.8314500002;100;100;0;0
288;1;12771.3770000002;100;100;1;1
289;0;14659.5524500002;100;100;0;0
290;0;9692.1604500001;100;100;0;0
291;0;9443.6384500000;200;100;0;0
292;1;3013.3910000000;100;100;1;1
293;0;335.1654500000;100;100;0;0
294;1;7918.3000000000;100;100;1;1
295;1;14134.8780000002;100;100;1;1
296;0;13129.9824500002;100;100;0;0
297;0;2399.2474500000;100;100;0;0
298;1;6710.2750000000;100;100;1;1
299;0;11424.0404500001;100;100;0;0
300;1;12273.1180000001;100;100;1;1
301;1;6638.6540000000;100;100;1;1
302;0;11637.3864500001;100;100;0;0
303;0;13996.8074500002;100;100;0;0
304;0;13886.8714500002;100;100;0;0
305;1;9750.3410000001;100;100;1;1
306;1;15893.7130000002;100;100;1;1
307;0;10679.4114500001;100;100;0;0
308;1;28.2130000000;100;100;1;1
309;0;7283.6364500000;100;100;0;0
310;0;7658.2134500000;100;100;0;0
311;0;12604.3724500002;100;100;0;0
312;0;10851.9674500001;100;100;0;0
313;0;274.9014500000;100;200;0;0
314;1;11359.6330000001;100;100;1;1
315;0;3602.5264500000;100;0;0;0
316;1;7953.1010000000;100;100;1;1
317;0;3537.5704500000;200;100;0;0
318;0;1007.5014500000;100;100;0;0
319;0;6738.3844500000;100;100;0;0
320;0;423.8184500000;100;100;0;0
321;1;7480.0690000000;100;100;1;1
322;1;11053.2090000001;200;100;1;1
323;1;6199.5790000000;100;100;1;1
324;0;10046.4994500001;100;100;0;0
325;0;6715.3314500000;0;0;0;0
326;1;4702.0050000000;100;0;1;1
327;1;1659.2020000000;100;100;1;1
328;0;5942.7284500000;100;100;0;0
329;1;14851.7910000002;100;0;1;1
330;0;5396.8404500000;100;100;0;0
331;0;15471.1664500002;100;100;0;0
332;0;4235.0844500000;100;200;0;0
333;1;15716.7260000002;100;100;1;1
334;1;1562.7760000000;100;100;1;1
335;1;4751.5010000000;100;100;1;1
