trial;present;iter_ms;rec_ms;iter_found;rec_found
457;1;0.000000;0.000000;1;1
458;1;0.000000;0.000000;1;1
459;0;0.000000;0.000000;0;0
460;1;0.000000;0.000000;1;1
461;1;0.000000;0.000000;1;1
462;1;0.000000;0.000000;1;1
463;0;0.000000;0.000000;0;0
464;0;0.000000;0.000000;0;0
465;1;0.000000;0.000000;1;1
466;1;0.000000;0.000000;1;1
467;0;0.000000;0.000000;0;0
468;1;0.000000;0.000000;1;1
469;0;0.000000;0.000000;0;0
470;1;0.000000;0.000000;1;1
471;1;0.000000;0.000000;1;1
472;1;0.000000;0.000000;1;1
473;0;0.000000;0.000000;0;0
474;0;0.000000;0.000000;0;0
475;1;0.000000;0.000000;1;1
476;0;0.000000;0.000000;0;0
477;0;0.000000;0.000000;0;0
478;1;0.000000;0.000000;1;1
479;0;0.000000;0.000000;0;0
480;0;0.000000;0.000000;0;0
481;0;0.000000;0.000000;0;0
482;1;0.000000;0.000000;1;1
483;1;0.000000;0.000000;1;1
484;1;0.000000;0.000000;1;1
485;0;0.000000;0.000000;0;0
486;1;0.000000;0.000000;1;1
487;1;0.000000;0.000000;1;1
488;0;0.000000;0.000000;0;0
489;0;0.000000;0.000000;0;0
490;1;0.000000;0.000000;1;1
491;0;0.000000;0.000000;0;0
492;0;0.000000;0.000000;0;0
493;1;0.000000;0.000000;1;1
494;1;0.000000;0.000000;1;1
495;0;0.000000;0.000000;0;0
496;1;0.000000;0.000000;1;1
497;1;0.000000;0.000000;1;1
498;1;0.000000;0.000000;1;1
499;0;0.000000;0.000000;0;0
500;1;0.000000;0.000000;1;1
501;1;0.000000;0.000000;1;1
502;0;0.000000;0.000000;0;0
503;1;0.000000;0.000000;1;1
504;1;0.000000;0.000000;1;1
505;1;0.000000;0.000000;1;1
506;1;0.000000;0.000000;1;1
507;1;0.000000;0.000000;1;1
508;0;0.000000;0.000000;0;0
509;1;0.000000;0.000000;1;1
510;1;0.000000;0.000000;1;1
511;0;0.000000;0.000000;0;0
512;1;0.000000;0.000000;1;1
513;0;0.000000;0.000000;0;0
514;0;0.000000;0.000000;0;0
515;0;0.000000;0.000000;0;0
516;1;0.000000;0.000000;1;1
517;0;0.000000;0.000000;0;0
518;0;0.000000;0.000000;0;0
519;0;0.000000;0.000000;0;0
520;0;0.000000;0.000000;0;0
521;0;0.000000;0.000000;0;0
522;0;0.000000;0.000000;0;0
523;1;0.000000;0.000000;1;1
524;0;0.000000;0.000000;0;0
525;0;0.000000;0.000000;0;0
526;1;0.000000;0.000000;1;1
527;1;0.000000;0.000000;1;1
528;0;0.000000;0.000000;0;0
529;0;0.000000;0.000000;0;0
530;1;0.000000;0.000000;1;1
531;0;0.000000;0.000000;0;0
532;1;0.000000;0.000000;1;1
533;0;0.000000;0.000000;0;0
534;1;0.000000;0.000000;1;1
535;0;0.000000;0.000000;0;0
536;1;0.000000;0.000000;1;1
537;0;0.000000;0.000000;0;0
538;0;0.000000;0.000000;0;0
539;1;0.000000;0.000000;1;1
540;0;0.000000;0.000000;0;0
541;0;0.000000;0.000000;0;0
542;0;0.000000;0.000000;0;0
543;0;0.000000;0.000000;0;0
544;0;0.000000;0.000000;0;0
545;0;0.000000;0.000000;0;0
546;0;0.000000;0.000000;0;0
547;0;0.000000;0.000000;0;0
548;1;0.000000;0.000000;1;1
549;1;0.000000;0.000000;1;1
550;1;0.000000;0.000000;1;1
551;0;0.000000;0.000000;0;0
552;1;0.000000;0.000000;1;1
553;1;0.000000;0.000000;1;1
554;0;0.000000;0.000000;0;0
555;0;0.000000;0.000000;0;0
